"","AcoCtrl2","AcoCtrl3","AcoCtrl4","AcoDT1","AcoDT2","AcoDT3","AcoDT4","AcoCtrl1"
"Chrm2",40,48,44,33,58,49,52,38
"Ptn",532,247,262,105,146,186,136,333
"Dgki",67,114,137,44,43,48,25,148
"Creb3l2",498,519,457,543,625,491,630,615
"Akr1d1",126,380,136,129,129,159,167,184
"Trim24",769,1047,753,804,1023,1114,755,913
"Svopl",6,5,5,2,2,7,4,4
"Atp6v0a4",988,1902,1115,1139,1574,1368,874,1668
"Tmem213",0,1,0,0,0,0,0,1
"D630045J12Rik",261,329,289,284,334,358,305,401
"Zc3hav1l",85,76,90,63,54,58,60,93
"Zc3hav1",1838,3052,2134,1839,2253,2543,1704,2443
"Ttc26",106,119,96,44,65,78,49,172
"Ubn2",1233,1869,1409,1303,1485,1536,1212,2003
"Fmc1",255,271,205,140,223,148,171,223
"Luc7l2",3796,5043,3724,3552,4373,4375,3292,5216
"Klrg2",474,704,410,628,771,715,577,599
"Clec2l",69,91,50,90,120,90,118,38
"Hipk2",6587,8923,6917,5218,6214,6438,4936,8695
"Tbxas1",183,382,261,306,382,347,380,354
"Parp12",554,799,450,1665,2464,2531,1636,638
"Kdm7a",2149,3048,2150,3917,4528,4298,3070,3162
"Slc37a3",911,1094,820,932,1057,976,901,1123
"Rab19",21,25,22,49,67,33,70,23
"Mkrn1",1901,2241,1555,1745,2213,2069,1885,1985
"Dennd2a",393,332,293,187,277,223,280,393
"Adck2",509,575,396,539,605,577,485,543
"Ndufb2",1278,1312,918,1077,1464,1029,1054,1113
"Braf",1735,2390,1703,1891,2321,2415,1788,2848
"Mrps33",533,650,446,561,689,620,599,633
"Tmem178b",33,61,41,17,38,13,28,57
"Agk",278,394,241,378,439,388,352,365
"Dennd11",1432,2371,1564,1362,1515,1737,1394,1877
"Wee2",22,35,20,21,37,24,27,42
"Ssbp1",259,273,211,288,373,333,275,269
"Tas2r137",0,0,1,0,0,0,1,0
"Tas2r108",0,0,0,0,0,1,0,0
"Prss37",0,0,0,0,1,0,0,0
"Olfr461",0,0,0,1,0,0,0,0
"Olfr460",3,5,2,5,4,4,3,6
"Clec5a",81,158,94,253,400,425,404,97
"Tas2r138",0,0,0,0,0,0,0,0
"Mgam",22,58,40,349,388,609,293,38
"Moxd2",0,0,1,0,1,2,1,2
